model,sigma,d_s,Kc,nu,nu_err,beta,beta_err,beta_over_nu,beta_over_nu_err,max_abs_K_nearest_minus_Kc
2D LRDG,0.4,10.0,1.85,0.49,0.10715294117647056,0.523955976615063,0.021045102458837218,1.0692979114593122,0.09663567455588519,0.0
2D LRDG,0.5,8.0,1.91,0.5,0.08767058823529413,0.5290225697595279,0.015776743854301296,1.0580451395190558,0.07099534734435584,0.0
2D LRDG,0.6,6.666666666666667,1.99,0.5,0.07792941176470586,0.5160816605766017,0.02345493090418076,1.0321633211532033,0.10554718906881343,0.0
2D LRDG,0.7,5.714285714285714,2.08,0.5,0.09741176470588235,0.4949008650206945,0.014667841135862458,0.989801730041389,0.06600528511138105,0.0
2D LRDG,0.75,5.333333333333333,2.17,0.52,0.08767058823529413,0.482009921105798,0.019896576430525777,0.9269421559726884,0.08609095570900577,0.020000000000000018
2D LRDG,0.78,5.128205128205128,2.19,0.56,0.048705882352941154,0.49649794948315756,0.012514649693486047,0.8866034812199242,0.050282074661327864,0.0
2D LRDG,0.8,5.0,2.22,0.6,0.05357647058823528,0.5016082207182367,0.013713971217002728,0.8360137011970613,0.051427392063760236,0.0
2D LRDG,0.83,4.819277108433735,2.34,0.78,0.08864470588235293,0.49829717377238325,0.013177334352972846,0.6388425304774143,0.038011541402806284,0.0
2D LRDG,0.85,4.705882352941177,2.4,0.87,0.10593529411764707,0.49991296427180165,0.014210181432062123,0.5746126026112662,0.03675046922085032,0.0
2D LRDG,0.9,4.444444444444445,2.6,1.23,0.17972470588235284,0.4986695003583377,0.022878893961812048,0.40542235801490867,0.04185163529599765,0.0
2D LRDG,0.95,4.2105263157894735,2.9,1.8,0.1461176470588236,0.5081751848877508,0.021526867928210985,0.2823195471598616,0.02690858491026373,0.0
